,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
GRMZM2G057616,1.32566378,6.040110977,4.01E-08,3.71E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G117608,-1.668763307,8.805652356,4.08E-08,3.76E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G093032,-1.822409461,5.932796833,4.09E-08,3.76E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G044495,-1.481996432,3.183869277,4.35E-08,3.97E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G047592,1.461556663,8.154637295,4.36E-08,3.97E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G125023,1.788818419,2.755103731,4.44E-08,4.03E-06,,,,,,,,,,,,,,,,,,,
GRMZM5G830874,0.892026886,6.924282735,4.60E-08,4.15E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G162768,2.077473208,2.016197371,4.96E-08,4.46E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G069694,1.643747973,4.829378621,5.05E-08,4.52E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G090528,4.087686111,1.495271599,5.11E-08,4.56E-06,,cyclic nucleotide-gated cation,,,,,,,,,,,,,,,,,
GRMZM2G424873,1.655481066,5.386602144,5.50E-08,4.89E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G113033,1.056772719,11.90432779,5.70E-08,5.05E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G568912,4.036232274,0.684467157,5.89E-08,5.20E-06,,haloacid dehalogenase-like hydrolase family protein,,,,,,,,,,,,,,,,,
GRMZM2G173943,0.984204329,6.533420785,6.01E-08,5.28E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G168898,2.343812903,6.503247398,6.16E-08,5.39E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G010202,-1.252136437,4.362644819,6.21E-08,5.41E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G083655,2.554007483,4.363484317,6.29E-08,5.46E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G062429,1.543578436,3.644956056,6.34E-08,5.49E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G075153,0.877534595,7.182857292,6.39E-08,5.51E-06,,,,,,,,,,,,,,,,,,,
AC205012.3_FG002,2.681989238,1.895709828,6.76E-08,5.80E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G160922,1.539017812,3.408244114,6.96E-08,5.95E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G000039,-1.315862823,6.134011908,7.29E-08,6.21E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G000353,-1.713584336,3.547507241,7.31E-08,6.21E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G108273,-1.867605456,6.330283874,7.60E-08,6.43E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G366607,2.374957817,4.242128256,8.05E-08,6.78E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G074053,1.206967401,7.822013104,8.15E-08,6.84E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G075117,-1.141295153,4.43149495,8.33E-08,6.97E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G138589,-1.803864673,6.156394407,8.85E-08,7.37E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G093286,3.01339916,3.19790518,9.27E-08,7.69E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G153274,1.180775453,5.647079247,1.00E-07,8.27E-06,,,,,,,,,,,,,,,,,,,
GRMZM5G852776,-1.241039579,4.537945068,1.05E-07,8.68E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G082185,0.980386537,7.37755333,1.11E-07,9.11E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G108597,-2.742431772,4.001767054,1.12E-07,9.11E-06,,Transmembrane amino acid transporter family protein,,,,,,,,,,,,,,,,,
GRMZM2G154078,-1.819542031,6.80806937,1.12E-07,9.11E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G163578,-1.614493787,3.439175089,1.19E-07,9.66E-06,,,,,,,,,,,,,,,,,,,
GRMZM5G886561,1.470847051,4.381182501,1.20E-07,9.71E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G395842,0.929548488,5.09090991,1.21E-07,9.77E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G009223,1.264400829,8.213428138,1.22E-07,9.77E-06,,,,,,,,,,,,,,,,,,,
GRMZM5G832939,1.84473418,8.082440908,1.23E-07,9.87E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G405770,5.998875119,2.919196784,1.30E-07,1.04E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G083130,1.566082452,5.76586303,1.35E-07,1.07E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G044788,2.439136769,3.403018717,1.37E-07,1.09E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G407495,-2.165300801,3.453486208,1.39E-07,1.10E-05,,Little information.,,,,,,,,,,,,,,,,,
GRMZM5G860607,3.236980942,2.055963581,1.40E-07,1.10E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G326272,-1.668303945,2.186500803,1.41E-07,1.10E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G092752,1.814882658,3.655661618,1.45E-07,1.13E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G104147,1.257004627,4.382908808,1.47E-07,1.14E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G067156,-2.263743123,2.936744262,1.52E-07,1.18E-05,,Little information.,,,,,,,,,,,,,,,,,
GRMZM2G122999,1.05599907,5.363807071,1.53E-07,1.18E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G106213,3.41109389,3.218727935,1.54E-07,1.19E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G070837,4.655586217,0.704981662,1.56E-07,1.20E-05,,Little information.,,,,,,,,,,,,,,,,,
GRMZM2G063756,1.764132947,7.23519391,1.57E-07,1.20E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G065989,2.090857855,5.946887685,1.60E-07,1.22E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G051305,1.627649031,4.219061565,1.61E-07,1.22E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G064914,1.167795853,7.435024115,1.62E-07,1.22E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G149452,-2.991272407,2.370688351,1.62E-07,1.22E-05,,nodulin MtN21 /EamA-like transporter family protein,,,,,,,,,,,,,,,,,
GRMZM2G173628,-2.770348656,2.101845656,1.70E-07,1.28E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G093210,-1.629316687,4.060843647,1.76E-07,1.32E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G014833,0.979895101,6.76343715,1.84E-07,1.38E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G161728,1.046723217,4.75946978,1.92E-07,1.43E-05,,,,,,,,,,,,,,,,,,,
GRMZM5G898290,2.138694189,4.159475122,1.94E-07,1.44E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G051276,0.842413291,7.62418517,1.95E-07,1.44E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G365961,2.059245579,3.982931636,1.98E-07,1.46E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G319138,-2.444228923,2.379714573,2.07E-07,1.51E-05,,pleiotropic drug resistance protein,,,,,,,,,,,,,,,,,
GRMZM2G116427,1.148944702,3.917773537,2.07E-07,1.51E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G379002,0.977717658,7.336356519,2.08E-07,1.51E-05,,,,,,,,,,,,,,,,,,,
GRMZM5G873295,1.171281252,4.951812086,2.19E-07,1.59E-05,,,,,,,,,,,,,,,,,,,
AC217975.3_FG001,-1.062628658,9.418332022,2.22E-07,1.61E-05,,,,,,,,,,,,,,,,,,,
GRMZM5G820401,3.92645525,2.050655043,2.22E-07,1.61E-05,,ATPase protein,,,,,,,,,,,,,,,,,
GRMZM5G891944,1.597935489,4.459570137,2.26E-07,1.63E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G076392,1.774689125,3.65193062,2.27E-07,1.63E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G030341,1.162211555,4.376745387,2.42E-07,1.73E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G358161,3.542595158,1.971241751,2.42E-07,1.73E-05,,aquaporin protein,,in rice.,,,,,,,,,,,,,,,
GRMZM2G008226,2.206019951,3.128013509,2.45E-07,1.74E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G148333,1.810916682,3.728093511,2.45E-07,1.74E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G135739,-1.290830996,5.278003364,2.46E-07,1.74E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G036996,1.784273145,2.745287759,2.50E-07,1.76E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G177659,1.135235175,6.565453566,2.85E-07,2.00E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G491692,5.434234334,1.310070725,2.85E-07,2.00E-05,,Little information.,,,,,,,,,,,,,,,,,
GRMZM2G083651,1.380428093,4.251219033,2.89E-07,2.02E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G089106,2.876666206,2.027463361,2.94E-07,2.05E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G032003,0.908768495,9.366542197,2.96E-07,2.06E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G086088,-0.997766933,6.182995672,2.99E-07,2.07E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G068455,1.199012166,5.35678685,3.14E-07,2.16E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G096962,0.811391,9.194848564,3.22E-07,2.21E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G111462,4.191523105,1.106207095,3.45E-07,2.36E-05,,,,,,,,,,,,,,,,,,,
GRMZM5G810746,4.003580606,0.963346387,3.47E-07,2.37E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G173669,0.973578908,8.79921429,3.53E-07,2.40E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G117956,-2.07211879,3.094714363,3.63E-07,2.46E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G149317,1.07111217,7.784924072,3.80E-07,2.58E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G117707,1.260199538,7.673530335,4.01E-07,2.71E-05,,,,,,,,,,,,,,,,,,,
GRMZM6G810942,1.155413875,4.590382423,4.09E-07,2.75E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G021106,2.058953836,5.013729746,4.13E-07,2.77E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G424205,3.516347434,1.048671,4.19E-07,2.80E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G070199,1.037442178,4.782472392,4.32E-07,2.88E-05,,,,,,,,,,,,,,,,,,,
GRMZM5G895188,1.165673975,6.808081834,4.52E-07,3.01E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G044107,2.687114839,1.234212188,4.54E-07,3.01E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G117410,1.87489587,3.482849574,4.70E-07,3.11E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G478160,2.301295794,4.213168967,4.76E-07,3.14E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G302045,-1.574621412,5.348240691,4.93E-07,3.22E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G036217,2.250307612,2.956648101,4.93E-07,3.22E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G010034,-1.18985697,9.633010587,4.94E-07,3.22E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G013430,1.349786889,4.014354744,4.95E-07,3.22E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G428216,3.027200508,1.724669858,5.18E-07,3.37E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G002100,1.140798326,4.401001663,5.36E-07,3.47E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G079381,1.223771978,8.158807545,5.44E-07,3.51E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G303964,2.036111755,4.307469987,5.94E-07,3.82E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G035524,4.778446408,1.098110867,5.97E-07,3.83E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G132000,0.997413576,7.233438795,6.07E-07,3.89E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G169270,-0.833619481,6.443267551,6.15E-07,3.93E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G328309,-1.23938379,3.746849094,6.28E-07,4.00E-05,,,,,,,,,,,,,,,,,,,
0,0.99809583,7.217399295,6.32E-07,4.01E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G358931,1.6377132,3.245406093,6.42E-07,4.06E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G048522,-2.735310854,2.699542611,6.43E-07,4.06E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G578572,-1.152761978,3.862115126,6.71E-07,4.23E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G062885,-1.048051447,6.210736024,6.75E-07,4.24E-05,,,,,,,,,,,,,,,,,,,
GRMZM5G893252,0.769066137,6.295001497,6.82E-07,4.27E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G418031,3.513080916,1.751927827,6.87E-07,4.29E-05,,,,,,,,,,,,,,,,,,,
AC217991.3_FG001,-2.310251994,2.048492155,6.89E-07,4.29E-05,,,,,,,,,,,,,,,,,,,
GRMZM5G834758,0.800526548,9.747069998,6.92E-07,4.30E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G161295,0.839935678,9.542441268,7.29E-07,4.51E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G563190,3.160275638,1.904717005,7.48E-07,4.62E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G117198,0.839227911,7.081508835,7.79E-07,4.80E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G040030,0.97470535,5.422945282,7.96E-07,4.89E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G019284,1.293128493,3.591089001,8.41E-07,5.14E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G119745,-1.076265248,3.693669922,8.42E-07,5.14E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G103101,1.025737988,9.361407244,8.86E-07,5.40E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G045433,-1.643248478,2.292225355,9.11E-07,5.53E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G050118,-1.402876413,4.578546329,9.29E-07,5.63E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G060257,0.894576354,4.803075709,9.32E-07,5.63E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G015955,1.24985478,5.751664969,9.45E-07,5.68E-05,,,,,,,,,,,,,,,,,,,
AC199526.5_FG002,1.197404101,4.525135052,9.46E-07,5.68E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G021846,1.01026278,9.634446189,9.72E-07,5.82E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G161809,1.328557003,6.198602647,9.85E-07,5.87E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G116614,-1.188518671,7.15072731,9.85E-07,5.87E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G051753,-1.371084187,5.434445796,1.01E-06,5.99E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G124396,-2.844756775,0.980630545,1.05E-06,6.21E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G316967,-0.953190758,5.908173073,1.08E-06,6.39E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G093441,1.61315316,4.681069137,1.10E-06,6.46E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G156857,4.703167838,0.454349245,1.15E-06,6.77E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G306732,1.011180217,9.046228628,1.19E-06,6.97E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G010460,-1.999904944,4.769626581,1.22E-06,7.16E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G068557,-1.039280421,11.09539803,1.23E-06,7.17E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G479703,-1.178265796,4.343273217,1.24E-06,7.22E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G456471,1.809422303,3.12671236,1.25E-06,7.26E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G053319,0.9251524,4.94891917,1.26E-06,7.27E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G343149,2.271724876,4.17425631,1.30E-06,7.48E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G135446,1.069729641,5.125643311,1.32E-06,7.63E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G303536,4.653474604,0.722922578,1.35E-06,7.75E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G076423,0.938177401,6.488222251,1.37E-06,7.87E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G056505,-1.60974967,4.952797355,1.47E-06,8.40E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G021482,4.422427352,1.946692832,1.49E-06,8.50E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G179732,1.010753909,5.817903454,1.52E-06,8.67E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G018375,1.106910367,10.47849039,1.53E-06,8.70E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G135816,0.95790043,5.202645344,1.54E-06,8.71E-05,,,,,,,,,,,,,,,,,,,
" zinc finger, C3HC4 type domain containing protein",4.006848936,1.327357383,1.55E-06,8.75E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G111579,0.957122759,5.223398164,1.56E-06,8.80E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G011746,1.144478836,6.70801084,1.62E-06,9.10E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G476538,-0.838977453,6.260609385,1.65E-06,9.25E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G160541,1.558660377,4.854862317,1.65E-06,9.25E-05,,,,,,,,,,,,,,,,,,,
AC203294.3_FG012,-2.641114914,2.503466271,1.69E-06,9.43E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G009638,0.739033697,6.266914801,1.70E-06,9.44E-05,,,,,,,,,,,,,,,,,,,
GRMZM2G025832,1.659440381,7.044762114,1.82E-06,0.00010101,,"Uncharacterized protein, sequence similar to Cytochrome 450 family (Biological process = response to auxin) in maize. Cytochrome P450 superfamily protein in Arabidopsis. Cytochrome 450 in rice.",,,,,,,,,,,,,,,,,
GRMZM2G034110,-0.91497991,5.506251692,1.84E-06,0.000101518,,"MYB DNA-binding domain superfamily protein in maize, rice and Arabidopsis.",,,,,,,,,,,,,,,,,
GRMZM2G433002,-1.105860601,4.476217183,1.88E-06,0.000103345,,hydrolase protein,,in rice.,,,,,,,,,,,,,,,
GRMZM2G028556,2.104937059,3.634470423,1.88E-06,0.000103345,,glutathione S-transferase TAU 8,,,,stress tolerance and secondary metabolism as well as catalyzing the detoxification of herbicides in crops and weeds.,,,,,,,,,,,,,
GRMZM2G042278,2.627657015,1.839464274,1.88E-06,0.000103345,,Plant regulator RWP-RK family protein,,,,in Arabidopsis.   ,,NIN-like protein 2,,in rice.,,,,,,,,,
GRMZM2G477743,0.806075866,4.872313274,1.93E-06,0.000105696,,alpha/beta-Hydrolases superfamily protein,,,,in in Arabidopsis. ,,monoglyceride lipase,,e in rice.,,,,,,,,,
GRMZM2G004483,-1.042838958,5.880810261,2.04E-06,0.000111447,,CONSTANS-like 4,,in Arabidopsis.,,CCT motif family protein,,tein in rice,,,,,,,,,,,
GRMZM2G175076,1.884732106,5.291077234,2.05E-06,0.000111726,, Chalcone-flavanone isomerase ,,,e in all three.,,,,,,,,,,,,,,
GRMZM2G068476,2.186699194,1.432055184,2.06E-06,0.000111854,,WRKY DNA-binding protein 27,,,in Arabi.,WRKY39,in rice. ,,,,,,,,,,,,
GRMZM5G870932,-1.168171223,6.873406415,2.07E-06,0.000112299,,phosphoenolpyruvate carboxykinase,,,,,,,,,,,,,,,,,
GRMZM2G392513,1.565739899,4.204473671,2.12E-06,0.000114766,,myo-inositol-1-phosphate synthase 2,,,,in Arabidopsis. inositol-3-phosphate synthase in rice.,,,,,,,,,,,,,
GRMZM2G050774,1.544877728,3.706928168,2.13E-06,0.000114973,,RING zinc finger domain superfamily protein in maize. RING/U-box superfamily protein in Arabidopsis. RING-H2 finger protein in rice.,,,,,,,,,,,,,,,,,
GRMZM2G383408,-0.948045179,6.66293758,2.16E-06,0.000116554,,ACT domain containing protein,,,,,,,,,,,,,,,,,
GRMZM2G114801,1.214527636,4.3966601,2.19E-06,0.000117432,,Adenine nucleotide alpha hydrolases-like superfamily protein,,,,,, in Arabidopsis.,,serine threonine kinase,,ase in rice.,,,,,,,
GRMZM2G170805,0.903061212,6.08778391,2.19E-06,0.000117432,,,,,,,,,,,,,,,,,,,
AC204611.4_FG001,1.804568075,2.926524144,2.21E-06,0.000118303,,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein,,,,,,,,,,,,,,,,,
GRMZM2G336908,0.844566613,5.688670263,2.22E-06,0.000118303,,,,,,,,,,,,,,,,,,,
GRMZM2G052658,-0.831157007,7.559758787,2.25E-06,0.000119593,,,,,,,,,,,,,,,,,,,
GRMZM2G018229,1.036767358,5.434634189,2.32E-06,0.000123244,,Brix domain protein in maize and rice.,,,,,,,,,,,,,,,,,
GRMZM2G103662,-0.947010643,5.081064235,2.33E-06,0.000123486,,Eukaryotic aspartyl protease family protein,,,,,,,,,,,,,,,,,
GRMZM2G079658,1.137021388,4.222209936,2.43E-06,0.000128481,,Polynucleotide adenylyltransferase family protein,,,,,in Arabidopsis and rice.,,,,,,,,,,,,
GRMZM2G139600,-1.780748639,4.533969271,2.44E-06,0.000128588,,gamma-glutamyl transpeptidase 4,,,,,,,,,,,,,,,,,
GRMZM2G157153,-1.541601409,4.814330276,2.49E-06,0.000130697,,Protein of Unknown function.,,,(DUF1645),,,,,,,,,,,,,,
GRMZM2G103281,1.03425352,5.42247117,2.51E-06,0.000131459,,Cytidylyltransferase ,,in Arabidopsis and rice.,,,,,,,,,,,,,,,
GRMZM2G103843,-1.744777888,3.071813147,2.54E-06,0.000133183,,fructokinase-like 2,,in Arabi.,"kinase, pfkB family",,in rice.,,,,,,,,,,,,
GRMZM2G068476,-2.087891777,2.284280649,2.56E-06,0.000133787,,This gene is Zag 1 in maize. floral homeotic protein (HUA1) in Arabidopsis and ,,,,,,,s and zinc finger C-x8-C-x5-C-x3-H type family protein in rice.,,,,,,,,,,
GRMZM2G120517,1.015231308,4.94416334,2.59E-06,0.00013516,,thylakoidal ascorbate peroxidase,,,se in Arabidopsis.,,,,,,,,,,,,,,
GRMZM2G031398,-0.932079246,5.583019762,2.60E-06,0.000135197,,Plant regulator RWP-RK family protein,,,,in Arabidopsis.  NIN in rice.,,,,,,,,,,,,,
GRMZM2G050412,3.646902053,0.794402182,2.61E-06,0.000135232,,Jasmonate-induced protein in maize. Mannose-binding lectin superfamily protein/jacalin-like,,,,,,,,,e lectin domain proteins in Arabidopsis and rice.,,,,,,,,
GRMZM2G058522,0.952440177,7.651699178,2.65E-06,0.000137345,,,,,,,,,,,,,,,,,,,
GRMZM2G106190,2.04841185,4.049565112,2.67E-06,0.000137982,,"Ferredoxin-6, chloroplastic in maize. Rerredoxin 3in arabidopsis. 2Fe-2S iron-sulfur cluster binding domain containing protein in rice. ",,,,,,,,,,,,,,,,,
GRMZM2G155370,-1.556878744,5.392203497,2.68E-06,0.000138143,,chloroplast import apparatus 2,,,in Arabi.,CCT motif family protein,,tein in rice.,,,,,,,,,,,
GRMZM2G107629,1.221881804,4.889840796,2.71E-06,0.000139467,,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,,,,,,,otein in Arabidopsis and rice.,,,,,,,,,,
GRMZM2G404769,2.564584155,2.39150346,2.74E-06,0.000140311,,purple acid phosphatase 3,,tase 3 in Arabidopsis. ,,,YT521-B-like family domain containing protein,,,,otein in rice,,,,,,,,
GRMZM2G057635,2.030539433,1.449191985,2.78E-06,0.000142354,,No classical gene model.,,,,,,,,,,,,,,,,,
GRMZM2G040876,0.984193946,5.018195911,2.83E-06,0.000144315,,,,,,,,,,,,,,,,,,,
GRMZM2G020920,-0.806249031,6.309028403,2.84E-06,0.000144469,,Little information.,,,,,,,,,,,,,,,,,
GRMZM2G039588,1.048556803,6.171318742,2.86E-06,0.000145253,,Galactose mutarotase-like superfamily protein,,,,,in Arabidopsis. aldose 1-epimerase in rice.,,,,,,,,,,,,
GRMZM5G875732,1.677390914,3.053145666,2.88E-06,0.000145894,,"Cytochrome P450 in maize and rice. Cytochrome P450, family 71, subfamily A, polypeptide 25",,,,,,,,,in Arabidopsis.,,,,,,,,
GRMZM2G114578,6.080423,1.336295339,2.91E-06,0.000146929,,AMP-dependent synthetase and ligase superfamily protein,,,,,,in maize and Arabidopsis. Amp-binding enzyme in rice.,,,,,,,,,,,
GRMZM2G152827,1.545970297,5.035406027,2.95E-06,0.000148755,,Mitochondrial phosphate transporter,,,porter in maize. ,,Phosphate transported in Arabidopsis and rice.,,,,,,,,,,,,
GRMZM2G005082,-1.285632423,4.488428517,2.96E-06,0.000148927,,O-Glycosyl hydrolases family 17 protein,,,,in Arabidopsis,,"glucan endo-1,3-beta-glucosidase precursor",,,,sor in rice.,,,,,,,
GRMZM2G060837,2.005637507,1.651453936,2.98E-06,0.000149497,,xyloglucan endotransglucosylase/hydrolase 30,,,,,in Arabidopsis.,,,,,,,,,,,,
GRMZM2G469024,-2.125113039,1.975746432,2.98E-06,0.000149497,,Little information available.,,,,,,,,,,,,,,,,,
GRMZM2G117497,-1.550139733,3.303695765,3.04E-06,0.000151851,,RAD-like 1,in Arabidopsis. ,,homeodomain-related,,ed in rice.,,,,,,,,,,,,
GRMZM2G064163,1.190843011,6.551954194,3.05E-06,0.000152015,,spermidine synthase,, in Arabidopsis and rice.,,,,,,,,,,,,,,,
GRMZM2G378547,2.2489668,2.14294596,3.10E-06,0.000154099,,Protein kinase superfamily protein,,,,Play many important roles.,,,,,,,,,,,,,
GRMZM2G093900,-1.770936435,2.70253677,3.19E-06,0.000158623,,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein,,,,,,,in Arabidopsis.,,aminotransferase,,in rice.,,,,,,
GRMZM2G158489,0.999288452,4.27135693,3.23E-06,0.000160051,,,,,,,,,,,,,,,,,,,
GRMZM2G066291,-1.469467567,5.938710987,3.24E-06,0.000160051,,phytochrome kinase substrate-related,,,,in Arabidopsis.,,,,,,,,,,,,,
GRMZM2G003662,-0.906948534,7.541640379,3.24E-06,0.000160137,,Protein kinase superfamily protein,,,,,,,,,,,,,,,,,
GRMZM2G359589,2.397418045,1.228614694,3.26E-06,0.00016072,,Little information.,,,,,,,,,,,,,,,,,
GRMZM2G419318,-1.831529875,2.957178602,3.28E-06,0.000161283,, S-locus lectin protein kinase family protein,,,,ein in Arabidopsis.,,,,,,,,,,,,,
GRMZM2G070218,1.25142846,6.197314597,3.35E-06,0.000164318,,shikimate kinase,,"in maize, Arabidopsis and rice.",,,,,,,,,,,,,,,
GRMZM2G173597,1.210564377,4.703497224,3.39E-06,0.000165889,,AAP7 in maize and Arabidopsis.  AAP2 in rice.,,,,,,,,,,,,,,,,,
GRMZM2G178074,-1.46897353,6.37004333,3.41E-06,0.000166557,,calcium-dependent protein kinase isoform AK1,,,,,in rice.,,,,,,,,,,,,
GRMZM2G164669,1.103610466,5.007777275,3.49E-06,0.000170062,,nkyrin repeat family protein,,,"in Arabidopsis and rice (with 2 Bric-a-Brac, Tramtrack, Broad Complex BTB  in rice).",,,,,,,,,,,,,,
GRMZM2G077015,-3.695472018,3.101884137,3.54E-06,0.000171812,,beta glucosidase 15,,,in barley beta-glucosidase activity  releases abscisic acid (ABA) from the physiologically inactive ABA-glucose conjugate pool in the leaf apoplast. ,,,,,,,,,,,,,,
