,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
GRMZM2G116248,-3.111215714,2.380268472,7.67E-09,8.95E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G175728,1.554945237,6.175925972,7.74E-09,8.99E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G004128,-1.551279378,5.592279647,8.42E-09,9.72E-07,,,,,,,,,,,,,,,,,,,
GRMZM2G071021,1.708647193,7.25863756,8.85E-09,1.02E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G132690,1.75907444,4.967590662,9.02E-09,1.03E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G064657,1.426938012,7.090611798,1.05E-08,1.20E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G315375,-1.414718283,5.390293474,1.08E-08,1.22E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G039797,1.308692043,7.469996326,1.13E-08,1.28E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G139874,1.53250355,5.132174929,1.14E-08,1.28E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G033971,1.795679505,5.249042858,1.18E-08,1.32E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G168707,1.214446703,6.651460788,1.23E-08,1.36E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G172491,1.841333748,4.598327142,1.27E-08,1.40E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G044902,1.88845251,3.143394827,1.43E-08,1.57E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G417382,-2.971017345,2.113528275,1.49E-08,1.63E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G154648,0.950146079,7.04750186,1.56E-08,1.70E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G141665,1.351985463,6.495916891,1.68E-08,1.82E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G116658,-0.968134333,4.931509748,1.70E-08,1.82E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G105140,3.316404114,1.405289281,1.70E-08,1.82E-06,,,,,,,,,,,,,,,,,,,
GRMZM5G828488,2.842350561,3.373410238,1.81E-08,1.93E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G316534,-1.167251252,5.330065974,1.83E-08,1.93E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G066496,1.159068329,5.611452374,1.83E-08,1.93E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G150337,1.073461462,6.050736331,1.89E-08,1.99E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G470766,6.4251422,1.04456364,1.93E-08,2.02E-06,,Little information.,,,,,,,,,,,,,,,,,
GRMZM2G084005,1.687837885,2.911392711,1.95E-08,2.03E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G146819,1.26859025,7.42319146,2.20E-08,2.28E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G166767,1.93183215,6.180151448,2.22E-08,2.29E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G332505,1.421548977,4.347044504,2.44E-08,2.50E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G463730,-0.929820106,5.182388112,2.44E-08,2.50E-06,,,,,,,,,,,,,,,,,,,
GRMZM5G852502,0.91309987,9.211503684,2.55E-08,2.60E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G152477,2.154083698,5.321560671,2.58E-08,2.61E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G122231,1.501417703,5.854899155,2.64E-08,2.67E-06,,,,,,,,,,,,,,,,,,,
